Month,State,Brand,Customers,Value,Age Group,Gender,VIP Band
Jul-19,SA,Apple,256,"50,623",18-24,F,Group A
Jul-19,SA,Apple,147,"34,629",18-24,F,Group B
Jul-19,SA,Apple,36,"85,034",18-24,F,Group C
Jul-19,SA,Apple,109,"220,479",18-24,F,Group D
Jul-19,SA,Apple,52,"15,644",18-24,M,Group A
Jul-19,SA,Apple,107,"47,716",18-24,M,Group B
Jul-19,SA,Apple,26,"26,399",18-24,M,Group C
Jul-19,SA,Apple,52,"17,522",18-24,M,Group D
Jul-19,SA,Apple,26,"7,822",18-24,M,Group E
Jul-19,SA,Apple,182,"15,078",25-34,F,Group A
Jul-19,SA,Apple,36,"90,744",25-34,F,Group C
Jul-19,SA,Apple,73,"121,171",25-34,F,Group D
Jul-19,SA,Apple,504,"58,471",25-34,M,Group A
Jul-19,SA,Apple,213,"107,833",25-34,M,Group B
Jul-19,SA,Apple,159,"142,173",25-34,M,Group C
Jul-19,SA,Apple,133,"140,139",25-34,M,Group D
Jul-19,SA,Apple,80,"523,396",25-34,M,Group E
Jul-19,SA,Apple,104,"51,885",35-44,F,Group A
Jul-19,SA,Apple,464,"70,737",35-44,M,Group A
Jul-19,SA,Apple,78,"83,566",35-44,M,Group B
Jul-19,SA,Apple,116,"48,540",35-44,M,Group C
Jul-19,SA,Apple,38,"173,096",35-44,M,Group D
Jul-19,SA,Apple,568,"38,419",45-54,F,Group A
Jul-19,SA,Apple,78,"10,218",45-54,M,Group A
Jul-19,SA,Apple,38,"6,814",45-54,M,Group B
Jul-19,SA,Apple,38,568,45-54,M,Group C
Jul-19,SA,Apple,187,"40,921",55-64,M,Group A
Jul-19,SA,Apple,125,"38,907",55-64,M,Group B
Jul-19,SA,Apple,62,"281,234",55-64,M,Group D
Jul-19,SA,Apple,672,"77,548",65+,F,Group A
Jul-19,SA,Apple,66,"90,505",65+,F,Group B
Jul-19,SA,Apple,135,"329,578",65+,F,Group D
Jul-19,SA,Apple,249,"38,632",65+,M,Group A
Jul-19,SA,Apple,310,"118,737",65+,M,Group B
Jul-19,SA,Apple,187,"125,877",65+,M,Group C
Jul-19,SA,Apple,62,916,65+,M,Group D
Jul-19,SA,Apple,125,"748,679",65+,M,Group E
Jul-19,SA,Orange,220,"24,934",18-24,F,Group A
