,months,year,state,brand,customers,value,age_group,gender,vip_band
0,Jul,19,SA,Apple,256,50623,18-24,F,Group A
1,Jul,19,SA,Apple,147,34629,18-24,F,Group B
2,Jul,19,SA,Apple,36,85034,18-24,F,Group C
3,Jul,19,SA,Apple,109,220479,18-24,F,Group D
4,Jul,19,SA,Apple,52,15644,18-24,M,Group A
5,Jul,19,SA,Apple,107,47716,18-24,M,Group B
6,Jul,19,SA,Apple,26,26399,18-24,M,Group C
7,Jul,19,SA,Apple,52,17522,18-24,M,Group D
8,Jul,19,SA,Apple,26,7822,18-24,M,Group E
9,Jul,19,SA,Apple,182,15078,25-34,F,Group A
10,Jul,19,SA,Apple,36,90744,25-34,F,Group C
11,Jul,19,SA,Apple,73,121171,25-34,F,Group D
12,Jul,19,SA,Apple,504,58471,25-34,M,Group A
13,Jul,19,SA,Apple,213,107833,25-34,M,Group B
14,Jul,19,SA,Apple,159,142173,25-34,M,Group C
15,Jul,19,SA,Apple,133,140139,25-34,M,Group D
16,Jul,19,SA,Apple,80,523396,25-34,M,Group E
17,Jul,19,SA,Apple,104,51885,35-44,F,Group A
18,Jul,19,SA,Apple,464,70737,35-44,M,Group A
19,Jul,19,SA,Apple,78,83566,35-44,M,Group B
20,Jul,19,SA,Apple,116,48540,35-44,M,Group C
21,Jul,19,SA,Apple,38,173096,35-44,M,Group D
22,Jul,19,SA,Apple,568,38419,45-54,F,Group A
23,Jul,19,SA,Apple,78,10218,45-54,M,Group A
24,Jul,19,SA,Apple,38,6814,45-54,M,Group B
25,Jul,19,SA,Apple,38,568,45-54,M,Group C
26,Jul,19,SA,Apple,187,40921,55-64,M,Group A
27,Jul,19,SA,Apple,125,38907,55-64,M,Group B
28,Jul,19,SA,Apple,62,281234,55-64,M,Group D
29,Jul,19,SA,Apple,672,77548,65+,F,Group A
30,Jul,19,SA,Apple,66,90505,65+,F,Group B
31,Jul,19,SA,Apple,135,329578,65+,F,Group D
32,Jul,19,SA,Apple,249,38632,65+,M,Group A
33,Jul,19,SA,Apple,310,118737,65+,M,Group B
34,Jul,19,SA,Apple,187,125877,65+,M,Group C
35,Jul,19,SA,Apple,62,916,65+,M,Group D
36,Jul,19,SA,Apple,125,748679,65+,M,Group E
37,Jul,19,SA,Orange,220,24934,18-24,F,Group A
38,Jul,19,SA,Orange,220,104476,18-24,F,Group B
39,Jul,19,SA,Orange,73,13734,18-24,F,Group C
40,Jul,19,SA,Orange,639,106346,18-24,M,Group A
41,Jul,19,SA,Orange,265,99383,18-24,M,Group B
42,Jul,19,SA,Orange,26,1956,18-24,M,Group C
43,Jul,19,SA,Orange,107,72749,18-24,M,Group D
44,Jul,19,SA,Orange,80,259312,18-24,M,Group E
45,Jul,19,SA,Orange,256,20895,25-34,F,Group A
46,Jul,19,SA,Orange,73,74802,25-34,F,Group B
47,Jul,19,SA,Orange,73,105501,25-34,F,Group C
48,Jul,19,SA,Orange,36,13464,25-34,F,Group D
49,Jul,19,SA,Orange,36,67640,25-34,F,Group E
50,Jul,19,SA,Orange,1117,132667,25-34,M,Group A
51,Jul,19,SA,Orange,320,116905,25-34,M,Group B
52,Jul,19,SA,Orange,159,140920,25-34,M,Group C
